TrackId,ProductName,TotalRevenue
2832,"The Woman King",3.98
2850,"The Fix",3.98
2868,Walkabout,3.98
3214,"Phyllis's Wedding",3.98
3223,"How to Stop an Exploding Man",3.98
3250,Pilot,3.98
3200,"Gay Witch Hunt",3.98
3177,"Hot Girl",3.98
2820,"Occupation / Precipice",1.99
2826,Hero,1.99
2838,"Crossroads, Pt. 2",1.99
2844,"Better Halves",1.99
2856,Parasite,1.99
2862,"The Glass Ballerina",1.99
2874,"I Do",1.99
2883,Solitary,1.99
2892,"Fire + Water",1.99
2901,Homecoming,1.99
2910,Dave,1.99
2919,"Born to Run",1.99
3169,"The Man Behind the Curtain",1.99
3178,"The Dundies",1.99
3187,"Christmas Party",1.99
3196,"Michael's Birthday",1.99
3205,Diwali,1.99
3232,"The Long Patrol",1.99
3246,"Baltar's Escape",1.99
3247,"Experiment In Terra",1.99
3248,"Take the Celestra",1.99
3252,"Through the Looking Glass, Pt. 1",1.99
3338,"The Beginning of the End",1.99
3347,"Meet Kevin Johnson",1.99
3428,"Branch Closing",1.99
2821,"Exodus, Pt. 1",1.99
2827,"Unfinished Business",1.99
2833,"A Day In the Life",1.99
2839,Genesis,1.99
2845,"Nothing to Hide",1.99
2851,Distractions,1.99
2860,Adrift,1.99
2869,"...And Found",1.99
2878,"The Other 48 Days",1.99
2887,"The 23rd Psalm",1.99
2896,"The Long Con",1.99
2905,"The Whole Truth",1.99
2914,S.O.S.,1.99
2923,"Exodus (Part 2) [Season Finale]",1.99
3173,"Diversity Day",1.99
3182,Halloween,1.99
3191,"The Carpet",1.99
3209,"A Benihana Christmas, Pts. 1 & 2",1.99
3224,"Through a Looking Glass",1.99
3227,"Battlestar Galactica, Pt. 2",1.99
3229,"Lost Planet of the Gods, Pt. 1",1.99
3231,"The Lost Warrior",1.99
3233,"The Gun On Ice Planet Zero, Pt. 1",1.99
3235,"The Magnificent Warriors",1.99
3237,"The Living Legend, Pt. 1",1.99
3241,"War of the Gods, Pt. 2",1.99
3245,"Greetings from Earth, Pt. 2",1.99
3249,"The Hand of God",1.99
3342,"The Economist",1.99
3360,"Something Nice Back Home",1.99
2822,"Exodus, Pt. 2",1.99
2828,"The Passage",1.99
2837,"Crossroads, Pt. 1",1.99
2846,"Seven Minutes to Midnight",1.99
2855,"Company Man",1.99
2864,Orientation,1.99
2873,"House of the Rising Sun",1.99
2882,"Lost Survival Guide",1.99
2891,"Enter 77",1.99
2900,Exposé,1.99
2909,Catch-22,1.99
2918,""?"",1.99
3168,"The Hard Part",1.99
3186,"Email Surveillance",1.99
3201,"The Convention",1.99
3202,"The Coup",1.99
3204,"The Initiation",1.99
3206,"Branch Closing",1.99
3208,"The Convict",1.99
3210,"Back from Vacation",1.99
3212,"Producer's Cut: The Return",1.99
3218,"Safety Training",1.99
3222,"The Job",1.99
3226,"Battlestar Galactica, Pt. 1",1.99
3230,"Lost Planet of the Gods, Pt. 2",1.99
3234,"The Gun On Ice Planet Zero, Pt. 2",1.99
3238,"The Living Legend, Pt. 2",1.99
3244,"Greetings from Earth, Pt. 1",1.99
3337,"Past, Present, and Future",1.99
3346,"Ji Yeon",1.99
3364,"There's No Place Like Home, Pt. 3",1.99
2823,Collaborators,1.99
2841,"One Giant Leap",1.99
2859,"Man of Science, Man of Faith (Premiere)",1.99
2877,"The Moth",1.99
2886,"Stranger In a Strange Land",1.99
2895,"Par Avion",1.99
2904,Outlaws,1.99
2913,"Deus Ex Machina",1.99
2922,"Live Together, Die Alone, Pt. 1",1.99
2,"Balls to the Wall",1.98
8,"Inject The Venom",1.98
20,Overdose,1.98
32,"Deuces Are Wild",1.98
48,"Not The Doctor",1.98
66,"Por Causa De Você",1.98
84,"Welcome Home (Sanitarium)",1.98
162,Cornucopia,1.98
171,"Bowels Of The Devil",1.98
198,"When My Left Eye Jumps",1.98
207,Meditação,1.98
234,"Morena De Angola",1.98
240,"Meu Caro Amigo",1.98
252,"Samba Do Lado",1.98
264,"Amor De Muito",1.98
280,"Lixo Do Mangue",1.98
298,"A Cor Do Sol",1.98
316,"Linha Do Equador",1.98
394,"Tanto Tempo",1.98
403,"Bumbo Da Mangueira",1.98
430,"I'm Going Slightly Mad",1.98
439,"Sure Know Something",1.98
466,"J Squared",1.98
472,"Basket Case",1.98
484,"Nice Guys Finish Last",1.98
496,"Living On Love",1.98
512,"Comportamento Geral",1.98
530,"Ando Meio Desligado",1.98
548,"Smoke On The Water",1.98
626,"Drum Boogie",1.98
635,"Lemon Drop",1.98
662,"Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)",1.98
671,"As Rosas Não Falam (Beth Carvalho)",1.98
698,"Good Golly Miss Molly",1.98
704,"Don't Look Now",1.98
716,Brasil,1.98
728,"Woman Of The World (Ao Vivo)",1.98
744,"Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)",1.98
762,"No No No",1.98
780,"Maybe I'm A Leo",1.98
858,Esquinas,1.98
867,Açai,1.98
894,"Sunshine Of Your Love",1.98
903,"Lay Down Sally",1.98
930,"She Loves Me Not",1.98
936,Caffeine,1.98
948,Easy,1.98
960,"What A Day",1.98
976,"Falamansa Song",1.98
994,"The Last Song",1.98
1012,"Times Like These",1.98
1090,"Stir It Up (Live)",1.98
1099,"A Novidade (Live)",1.98
1126,Re-Align,1.98
1135,Holiday,1.98
1162,"Perfect Crime",1.98
1168,"The Garden",1.98
1180,Breakdown,1.98
1192,"L'Arc En Ciel De Miles",1.98
1208,"For the Greater Good of God",1.98
1226,"Can I Play With Madness",1.98
1244,"The Thin Line Between Love & Hate",1.98
1322,"The Trooper",1.98
1331,"Run Silent Run Deep",1.98
1358,"Blood Brothers",1.98
1367,"The Number Of The Beast",1.98
1394,"The Prisoner",1.98
1400,"The Aftermath",1.98
1412,"Don't Look To The Eyes Of A Stranger",1.98
1424,"Hey America",1.98
1440,"Whatever It Is, I Just Can't Stop",1.98
1458,"Light Years",1.98
1476,"Take It Or Leave It",1.98
1554,"Turbo Lover",1.98
1563,"Plaster Caster",1.98
1590,"Walter's Walk",1.98
1599,"Dancing Days",1.98
1626,"How Many More Times",1.98
1632,"Living Loving Maid (She's Just A Woman)",1.98
1644,"Bron-Y-Aur Stomp",1.98
1656,"For Your Life",1.98
1672,L'Avventura,1.98
1690,"Tempo Perdido",1.98
1708,"Mr. Cab Driver",1.98
1786,"Save The Children",1.98
1795,"Down by the Sea",1.98
1822,"Stone Cold Crazy",1.98
1831,Motorbreath,1.98
1858,"Leper Messiah",1.98
1864,"The Unforgiven II",1.98
1876,"For Whom The Bell Tolls",1.98
1888,"Shoot Me Again",1.98
1904,"The Duke",1.98
1922,"Menestrel Das Alagoas",1.98
1940,"Norwegian Wood",1.98
2018,"Folhas Secas",1.98
2027,"Menino De Rua",1.98
2054,Selvagem,1.98
2063,"Nebulosa Do Amor",1.98
2090,"Romance Ideal",1.98
2096,"Flying High Again",1.98
2108,"Children Of The Grave",1.98
2120,"Walking Into Clarksdale",1.98
2136,"Plot 180",1.98
2154,Untitled,1.98
2172,"Big Wave",1.98
2250,"Nega Do Cabelo Duro",1.98
2259,"You're My Best Friend",1.98
2286,"Get Up",1.98
2295,Untitled,1.98
2322,"So Central Rain",1.98
2328,"Fall On Me",1.98
2340,"Esporrei Na Manivela",1.98
2352,"Que Luz É Essa",1.98
2368,"Under The Bridge",1.98
2386,Tear,1.98
2404,"Right On Time",1.98
2482,Saturnine,1.98
2491,"Cherub Rock",1.98
2518,"Pretty Noose",1.98
2527,Starburst,1.98
2554,"Soldier Side - Intro",1.98
2560,"Violent Pornography",1.98
2572,"Midnight From The Inside Out",1.98
2584,"Title Song",1.98
2600,"Train In Vain",1.98
2618,"Speed Of Light",1.98
2636,"Sun King",1.98
2714,"Heaven Coming Down",1.98
2723,Gyroscope,1.98
2750,"You Better You Bet",1.98
2759,"Música No Ar",1.98
2786,"O Pulso",1.98
2792,"A Melhor Forma",1.98
2804,"Lugar Nenhum",1.98
2816,"Toda Cor",1.98
2946,"When I Look At The World",1.98
2955,"Everlasting Love",1.98
2982,Miami,1.98
2991,"All Along The Watchtower",1.98
3018,"Sunday Bloody Sunday",1.98
3024,"Two Hearts Beat As One",1.98
3036,"Dirty Day",1.98
3048,"C'est La Vie",1.98
3064,Eruption,1.98
3082,Eruption,1.98
3100,"Year to the Day",1.98
3256,"Give Peace a Chance",1.98
3268,"Beautiful Boy",1.98
3280,"War Pigs",1.98
3446,"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",1.98
3455,Rehab,1.98
3482,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",1.98
3488,"Music for the Funeral of Queen Mary: VI. "Thou Knowest, Lord, the Secrets of Our Hearts"",1.98
3500,"String Quartet No. 12 in C Minor, D. 703 "Quartettsatz": II. Andante - Allegro assai",1.98
9,Snowballed,1.98
175,Voodoo,1.98
184,"Chemical Wedding",1.98
211,"Bem Devagar",1.98
217,Mel,1.98
229,"Samba De Orly",1.98
241,"Geni E O Zepelim",1.98
407,"Só Tinha De Ser Com Você",1.98
416,"Whiskey In The Jar",1.98
443,"Shock Me",1.98
449,"Calling Dr. Love",1.98
461,Surrender,1.98
473,"When I Come Around",1.98
639,"Don't Take Your Love From Me",1.98
648,"Onde Anda Você",1.98
675,"Susie Q",1.98
681,Commotion,1.98
693,"Sweet Hitch-Hiker",1.98
705,"The Midnight Special",1.98
871,Azul,1.98
880,"Dois Pra Lá, Dois Pra Cá",1.98
907,Promises,1.98
913,"Lonely Stranger",1.98
925,"Last Cup Of Sorrow",1.98
937,"Midlife Crisis",1.98
1103,"Lamento De Carnaval",1.98
1112,"Beira Mar",1.98
1139,"Give Me Novacaine",1.98
1145,Whatsername,1.98
1157,"Rocket Queen",1.98
1169,"Garden of Eden",1.98
1335,"Where Eagles Dare",1.98
1344,"Aces High",1.98
1371,Moonchild,1.98
1377,"The Clairvoyant",1.98
1389,Gangland,1.98
1401,"Judgement Of Heaven",1.98
1567,"Sure Know Something",1.98
1576,"Rock And Roll All Nite",1.98
1603,"In The Evening",1.98
1609,"I'm Gonna Crawl",1.98
1621,"Dazed and Confused",1.98
1633,"Ramble On",1.98
1799,"Shakes and Ladders",1.98
1808,"Nothing Else Matters",1.98
1835,"Phantom Lord",1.98
1841,"The House Jack Built",1.98
1853,Battery,1.98
1865,"Better Than You",1.98
2031,"Nossa Gente (Avisa Là)",1.98
2040,"Revolta Olodum",1.98
2067,"Mensagen De Amor (2000)",1.98
2073,"Saber Amar",1.98
2085,"Meu Erro",1.98
2097,"Mama, I'm Coming Home",1.98
2263,"Somebody To Love",1.98
2272,"We Are The Champions",1.98
2299,Undertow,1.98
2305,"Binky The Doormat",1.98
2317,"Country Feedback",1.98
2329,"I Believe",1.98
2495,"Bullet With Butterfly Wings",1.98
2504,"Real Love",1.98
2531,"End Of Romanticism",1.98
2537,"Travis Walk",1.98
2549,"Piece Of Pie",1.98
2561,Question!,1.98
2727,Babylon,1.98
2736,"Boris The Spider",1.98
2763,Compadre,1.98
2769,"Não Quero Dinheiro",1.98
2781,Comida,1.98
2793,"Cabeça Dinossauro",1.98
2959,"Hallelujah Here She Comes",1.98
2968,"City Of Blinding Lights",1.98
2995,"Pride (In The Name Of Love)",1.98
